latitude,longitude
13.03974,77.57145949
13.04072,77.57353418
13.03823,77.56952561
13.04252,77.56640855
13.04299,77.56759141
13.04126,77.56802693
13.04095,77.56886713
13.04019,77.56764773
13.03981,77.56674148
13.03228,77.57514987
13.0395,77.56679814
13.04003,77.56765611
13.0375,77.56496217
13.03774,77.56603472
13.03716,77.56778352
13.03639,77.56725211
13.03247,77.56445825
13.03248,77.57454839
13.03755,77.56715756
13.03771,77.56933182
13.03574,77.56738454
13.03698,77.56413136
13.03474,77.56980389
13.03436,77.56947096
13.03435,77.56965101
13.03508,77.57046975
13.03502,77.57015258
13.03448,77.56906159
13.03246,77.57422552
13.03294,77.56950114
13.04071,77.56535411
13.02735,77.57040136
13.02686,77.56989308
13.03015,77.57962514
13.02996,77.5791762
13.04302,77.57866859
13.03895,77.57620431
13.04089,77.56819725
13.03947,77.57005971
13.03401,77.57577717
13.02685,77.57981256
13.03164,77.57639777
13.03133,77.56856807
13.03085,77.57543184
13.03028,77.57624187
13.03047,77.57608697
13.02777,77.57528096
13.02744,77.57679775
13.03012,77.57491015
13.02808,77.57399518
13.03329,77.56975561
13.0332,77.57698182
13.03301,77.56952528
13.03231,77.57161707
13.03176,77.57129453
13.03192,77.57161606
13.03203,77.5699836
13.03201,77.57192854
13.02755,77.57688794
13.03186,77.57237714
13.04408,77.56288715
13.0445,77.57187825
13.04123,77.56402407
13.04166,77.56404519
13.04206,77.56447166
13.04258,77.56400127
13.04276,77.5651117
13.04299,77.56372735
13.04172,77.5662047
13.04135,77.56466813
13.04567,77.56376155
13.04557,77.56455414
13.04624,77.5666352
13.04628,77.56754313
13.04591,77.56834142
13.02913,77.56618492
13.02969,77.57660296
13.02953,77.5771508
13.02874,77.57137299
13.02839,77.57197849
13.03395,77.57796317
13.03336,77.57801279
13.03516,77.57561121
13.03409,77.57573158
13.03288,77.57272482
13.03271,77.57221822
13.03711,77.57524576
13.03807,77.57431202
13.04016,77.57192887
13.04021,77.57150508
13.02812,77.5703866
13.02827,77.57158522
13.03873,77.56473586
13.04569,77.57106151
13.04612,77.56970029
13.04539,77.57097065
13.04332,77.57888518
13.04322,77.570916
13.04277,77.57203348
13.04263,77.57035241
13.04369,77.57026121
13.04575,77.57357474
13.04573,77.57450648
13.04574,77.57401396
13.04665,77.57368371
13.04449,77.57269599
13.04365,77.56987028
13.04299,77.56849732
13.04729,77.57476295
13.04724,77.57399552
13.0363835,77.58143194
13.0415822,77.58728586
13.03166294,77.5814316
13.0309626,77.58064069
13.0343355,77.57892273
13.0369277,77.57739153
13.047386,77.58139439
13.04483832,77.58076943
13.0443386,77.58347847
13.0428273,77.58704145
13.0429302,77.59002071
13.0426548,77.58739684
13.04037203,77.58255914
13.0388774,77.5806189
13.0243624,77.58958954
13.0364766,77.58521788
13.03601377,77.5847391
13.0349467,77.57733252
13.03395955,77.57775899
13.0344338,77.57587843
13.0346249,77.57789645
13.0412314,77.57772613
13.04269991,77.57716957
13.0423246,77.57772546
13.0424037,77.58172028
13.0424674,77.58086331
13.0426098,77.58096088
13.04392671,77.5771109
13.0427545,77.58089416
13.04253365,77.58172497
13.0434286,77.57928852
13.0437268,77.57927477
13.0279546,77.58611977
13.0442527,77.57975824
13.04445421,77.5792855
13.0440995,77.57810399
13.04288347,77.57807147
13.042742,77.57759739
13.0427489,77.57698651
13.0428511,77.57558607
13.0446041,77.57599209
13.0458015,77.57560082
13.04529102,77.57713906
13.0330659,77.57639509
13.02586532,77.57601153
13.0465178,77.57945113
13.04070878,77.58771837
13.0397838,77.58019309
13.04160472,77.58039761
13.0408783,77.57832192
13.04067318,77.57804297
13.0415391,77.57755615
13.0408456,77.58195531
13.0411847,77.57885065
13.04109845,77.57484008
13.0361823,77.57858377
13.03598372,77.57858612
13.0373278,77.57585797
13.03806993,77.57585026
13.0377515,77.57485013
13.0390805,77.57634312
13.03919322,77.57518474
13.0385396,77.57786125
13.03362344,77.57788438
13.0384243,77.58038219
13.0381591,77.58005463
13.0395453,77.57991448
13.0326321,77.57854454
13.0323375,77.5790431
13.03247954,77.57799704
13.0325975,77.5789747
13.0401467,77.58067086
13.03457,77.58037817
13.034979,77.58056995
13.03177661,77.57998992
13.02971,77.58025847
13.03096622,77.58047774
13.0294584,77.58025043
13.0278161,77.58090522
13.0273042,77.58044589
13.0276315,77.58060414
13.0267927,77.57852308
13.03940716,77.58088645
13.0391619,77.58135248
13.0418775,77.57726178
13.0425862,77.57776771
13.04214889,77.58044489
13.0424458,77.57555857
13.0411693,77.57548582
13.0406415,77.57429224
13.0398347,77.57596761
13.04229162,77.57798564
13.0418513,77.57500939
13.0339638,77.58073758
13.0363825,77.58143563
13.03890741,77.57463153
13.0395166,77.57363945
13.03803792,77.58244447
13.0377662,77.57419098
13.0369581,77.57446792
13.0374862,77.57191915
13.0370838,77.57341214
13.03616729,77.57398915
13.0360272,77.57438879
13.03627475,77.57442567
13.0410995,77.5904999
13.0405998,77.594902
13.0404997,77.5921021
13.0386,77.5929031
13.0389004,77.5942001
13.0403996,77.5945969
13.0397997,77.5944977
13.0409002,77.5942001
13.0404997,77.5958023
13.0394001,77.5908966
13.0394001,77.5954971
13.0405998,77.5970001
13.0408001,77.5901031
13.0410004,77.5970001
13.0393,77.5970001
13.0396996,77.5971985
13.0405998,77.5978012
13.0397997,77.5982971
13.0403004,77.5986023
13.0391998,77.5987015
13.0405998,77.5906982
13.0407,77.598999
13.0404997,77.5972977
13.0402002,77.5903015
13.0395002,77.6010971
13.0396996,77.6019974
13.0396996,77.6015015
13.0396004,77.6029968
13.0396996,77.5906982
13.0396004,77.6038971
13.0386,77.6018982
13.0384998,77.6024017
13.0404997,77.6037979
13.0396004,77.6050034
13.0384998,77.6013031
13.0407,77.5906982
13.0407,77.591301
13.0403996,77.6057968
13.0395002,77.6069031
13.0395002,77.6074982
13.0402002,77.600502
13.0397997,77.5997009
13.0389004,77.6079025
13.0390997,77.5906982
13.0386,77.6090012
13.0354004,77.604599
13.0354996,77.6036987
13.0410004,77.5919037
13.0354004,77.6042023
13.0349998,77.6032028
13.0360003,77.6031036
13.0360003,77.6044998
13.0367002,77.603302
13.0363998,77.5906982
13.0368004,77.6039963
13.0368004,77.6050034
13.0374002,77.6032028
13.0386,77.6034012
13.0376997,77.6051025
13.0405998,77.5932007
13.0377998,77.6066971
13.0387001,77.6069031
13.0382996,77.5906982
13.0382996,77.6053009
13.0381002,77.6072006
13.0394001,77.6060028
13.0323,77.6083984
13.0327997,77.6082993
13.0333004,77.608902
13.0337,77.6091003
13.0318003,77.6071014
13.0398998,77.5931015
13.0351,77.5906982
13.0352001,77.6093979
13.0356998,77.6094971
13.0305996,77.6080017
13.0327997,77.6063004
13.0325003,77.6078033
13.0360003,77.6094971
13.0373001,77.6099014
13.0309,77.6072006
13.0319004,77.6065979
13.0389996,77.5938034
13.0311003,77.6064987
13.0313997,77.5906982
13.0381002,77.6074982
13.0320997,77.6054993
13.0326996,77.6047974
13.0338001,77.6063995
13.0335999,77.6047974
13.0345001,77.6063995
13.0366001,77.5906982
13.0361996,77.6064987
13.0362997,77.6072998
13.0366001,77.6094971
13.0403996,77.594101
13.0369997,77.6081009
13.0365,77.6066971
13.0356998,77.6059036
13.0376997,77.6054001
13.0352001,77.5906982
13.0355997,77.6081009
13.0347004,77.6065979
13.0349998,77.6067963
13.0338001,77.6074982
13.0347996,77.6079025
13.0395002,77.6050034
13.0395002,77.5906982
13.0373,77.5964966
13.0341,77.6020966
13.0305,77.6020966
13.0344,77.5994034
13.0304,77.5994034
13.0384,77.5987015
13.0294,77.6016006
13.0291,77.6015015
13.0286,77.6009979
13.0282,77.6011963
13.0278,77.6016998
13.0286,77.6039963
13.0287,77.6037979
13.0384,77.5963974
13.0289,77.6044006
13.0294,77.6034012
13.0301,77.6041031
13.0312,77.6024017
13.0316,77.6044998
13.0311,77.6041031
13.0329,77.6034012
13.0381,77.5967026
13.0322,77.6047974
13.0337,77.6035004
13.0336,77.6039963
13.0322,77.6034012
13.0341,77.6039963
13.0351,77.604599
13.0355,77.6032028
13.0275,77.6010971
13.0278,77.6044006
13.0285,77.6044998
13.0283,77.6013031
13.0382,77.5988007
13.0289,77.6053009
13.0303,77.6054001
13.0297,77.6041031
13.0302,77.6063004
13.0367,77.6038971
13.0368,77.6069031
