name,latitude,longitude
Cubbon Park PS,12.9800298427157,77.5979641429556
Vidhana Soudha PS,12.9773209692159,77.5886142885905
Viveknagar PS,12.951547000394,77.6222989999259
Halasurgate PS,12.9679059997634,77.5867767998637
Sampangiramanagar PS,12.9630649998591,77.5921599999535
Wilsongarden PS,12.9500430001231,77.5961980000424
High Grounds PS,12.9899573531302,77.5927664453475
Sadashivanagar PS,13.0149094111584,77.5725447841245
Seshadripuram PS,12.9879292996002,77.5735902002227
Vyalikaval PS,13.0014925000938,77.5786416004447
Banaswadi PS,13.0196345004026,77.6403087004
Devarajeevanahalli PS,13.0093318996255,77.6103367001824
Hennur PS,13.024142138905,77.6457466922352
Kadugondana Halli PS,13.0250519004078,77.6274595998832
Ramamurthy Nagar PS,13.0121958894059,77.6676147006279
Byappanahalli PS,12.99146656405,77.6568733672614
Halasur PS,12.9748128797954,77.6253330610102
Indiranagar PS,12.9829857001463,77.638280000055
Jeevan Bheemanagar PS,12.9676990004541,77.6553852996563
Bharathi Nagar PS,12.9912025002823,77.6120856003067
Commercial Street PS,12.9820757996245,77.6064306996423
Pulakeshinagar PS,12.9992725573424,77.6196531704426
Shivajinagar PS,12.9855097999292,77.6052475001124
Tilak Nagar PS,12.9283629998263,77.5905730004444
Chamarajpet PS,12.9605426996297,77.5670263999736
City Market PS,12.964957672278,77.5761266577661
Cottonpet PS,12.9680170243514,77.5700979326779
Kalasipalya PS,12.9573704167974,77.5773576933696
Upparpet PS,12.9744759561439,77.5748211347527
Kumbalagudu PS,12.8751639997321,77.4441459996032
Tavarekere PS,12.9662440004315,77.4007709999584
Malleshwarm PS,12.9966449997394,77.569587000137
Srirampura PS,12.9899929995949,77.5650049998011
Subramanya Nagar PS,13.0033419996475,77.5536799999682
Rajajinagar PS,12.9946259998528,77.5542170001696
Rajgopal Nagar PS,13.017349999738,77.5135710004188
Nandini Layout PS,13.0123670002594,77.5367059999833
Yeshwanthapura PS,13.018195000432,77.5580990000111
"RMC Yard PS, Yeshwanthpura",13.023521263115,77.5499230793907
Peenya PS,13.0360401362993,77.5211640244163
Bagalgunte PS,13.0595489998628,77.5036570001419
Gangammagudi PS,13.0721550001859,77.5299849997112
Soladevanahalli PS,13.0934310001467,77.489040000408
Jalahalli PS,13.0486679996027,77.5495399998899
J.C. NagarPS,13.0055789999663,77.5935739997935
R.T. Nagar PS,13.0247279997493,77.5931990004551
Sanjay Nagara PS,13.0333540002619,77.5757999996612
Hebbal PS,13.0383900002421,77.5896609998677
Chikkajala PS,13.1732849997572,77.6332139995524
Amruthahally PS,13.0568580000581,77.5985649995896
Kothanur PS,13.0555134900539,77.6464059600349
Sampigehalli PS,13.0753290001411,77.6333430004523
Kodigehalli PS,13.0621039996126,77.5740659996586
Yelahanka New Town PS,13.0999964496935,77.5838171135637
Yelahanka PS,13.0948982140093,77.594093907309
Banashankari PS,12.9292740000901,77.5679710003444
Basavanagudi PS,12.9419994209918,77.5742406181053
Jayanagar PS,12.9285749996732,77.5813879997279
Jayaprakash Nagar PS,12.9118000000068,77.5876000003785
Siddapura PS,12.9396290002763,77.5941780002841
Basavanagudi Women PS,12.9290081004219,77.5678107000166
Konanakunte PS,12.8839319997207,77.56640799997
Kumaraswamy Layout PS,12.9053291296562,77.5632979997497
Puttenahalli PS,12.9024027782159,77.5819750000366
Subramanyapura PS,12.901203319357,77.5443170617634
Thalaghattapura PS,12.8690240001717,77.5362860003164
V.V. Puram PS,12.9596195803045,77.5722658495622
Channammanakere Achu Kattu PS,12.9301162396181,77.560604590239
Kempegowda Nagar PS,12.9491600000604,77.5631800000979
Girinagar PS,12.9360000002911,77.5438999998846
Bandepalya PS,12.9056000003551,77.6415333333942
Annapoorneshwari Nagar PS,12.9764945003794,77.5127363002522
Byatarayanapura PS,12.9513964930184,77.5401247181361
Chandra Layout PS,12.9588991588048,77.5283954172681
Jagajeevanram Nagar PS,12.964081607397,77.5550759389811
Jnanabharathi PS,12.9505529290118,77.5002666799548
Kengeri PS,12.9104775156184,77.4815711889913
Rajarajeshwari Nagar PS,12.9128403426384,77.5206330486244
Basaveshwara Nagar PS,12.9853070014035,77.542571994291
Kamakshipalya PS,12.9822236602558,77.5320189022735
Kempapura Agrahara PS,12.9725125392007,77.5615773208425
Magadi Road PS,12.9755660999865,77.5501698999891
Vijayanagar PS,12.9723502644423,77.538467437727
Kaggalipura PS,12.7995459998704,77.5100820000121
Electronic City PS,12.8400089995489,77.6630639999462
Parappana Agrahara PS,12.8773138893884,77.6673555559925
Adugodi PS,12.941430999878,77.6115419998195
H.S.R.Layout PS,12.9201510003798,77.6513889997284
Koramangala PS,12.9412138887662,77.6213416671002
Bellanduru PS,12.9191619996926,77.6678679998158
H.A.L. PS,12.9550059996707,77.6828550001031
Marathahalli PS,12.9456189996246,77.6980390002911
Varthur PS,12.9380340003015,77.7469200001009
K.R. Puram PS,13.0090160001236,77.693286999959
Kadugodi PS,12.9954149997581,77.7578210000384
Mahadevapura PS,12.9966939998372,77.6928279998912
Whitefield PS,12.9753560004434,77.7510760001927
Anekal PS,12.7101184001285,77.692886400445
Bannerghatta PS,12.8135433004012,77.5792525001605
Jigani PS,12.7824606995826,77.6392150996301
Hebbagodi PS,12.8263711001822,77.6799321002329
Sarjapura PS,12.8607281002345,77.7812827002306
Avalahally PS,13.042326000046,77.7457209996652
Rajanukunte PS,13.1739705001471,77.5624243997917
Attibele PS,12.7789360000593,77.7716710001049
Madhanayakanahally PS,13.0622470002623,77.4623099998741
Suryanagar PS,12.7928960000553,77.7049370001704
Ashoknagar PS,12.9716320001726,77.6101850003906
S.J. Park PS,12.9609289995745,77.5831449995862
Bagalur PS,13.1400419997494,77.6704359997402
Hanumathanagar PS,12.9362359996876,77.5614549998024
