latitude,longitude
12.9779144,77.5841792
13.0040647,77.6192601
12.9670078,77.6355011
13.0192437,77.564784
13.0164591,77.5630553
13.016811,77.5629092
13.0275594,77.5713775
13.0126128,77.5689946
12.9655057,77.5349283
12.9651401,77.5348464
12.9578343,77.5342179
12.9737679,77.6138022
12.974344,77.6110621
13.0064362,77.5787556
12.9344914,77.6123667
12.9102739,77.5952023
13.0043155,77.6186189
13.0036358,77.6168195
13.0040539,77.6197036
13.0049492,77.6173656
13.0047271,77.6172604
12.9311267,77.6233088
12.9308146,77.6230211
13.0056695,77.580865
13.0091572,77.5805054
13.0084718,77.5715886
13.0084993,77.5711547
12.9995879,77.6232746
12.9996458,77.623085
12.9996571,77.6230575
13.001928,77.6121952
12.9991284,77.6104064
12.9936002,77.6073582
12.9905635,77.5994986
12.9843694,77.5971781
12.9803297,77.596906
12.9807772,77.5974151
12.9803563,77.5970834
12.9896165,77.5927697
12.9938755,77.59707
12.9935331,77.5957065
12.9747424,77.6200275
13.0058786,77.6237269
12.9783736,77.6443255
12.9784381,77.6442049
12.9818215,77.6229337
13.0018833,77.6330181
12.9784382,77.6442184
13.000987,77.6270416
13.0019009,77.6329291
12.9716676,77.6196001
12.9721567,77.6194325
12.9423798,77.6227483
12.9424075,77.6227122
12.9838179,77.5941061
12.9838335,77.5941759
12.9688225,77.6481309
13.0051679,77.5665881
12.97579,77.6202192
12.9710145,77.5975075
12.9712442,77.5976968
12.9712472,77.5977061
13.0228188,77.6371679
12.9345018,77.6123225
12.9345024,77.6123307
12.9344115,77.6124006
12.9345083,77.612345
12.9764872,77.5994312
13.1988107,77.7066534
13.1989708,77.7075381
13.1999342,77.7083493
13.2000687,77.7077134
13.1988543,77.7065887
12.893836,77.6564644
12.8940969,77.6570726
12.8507552,77.6602402
12.869746,77.653381
12.8699376,77.6533944
12.8556643,77.6640354
12.8507729,77.6605756
12.8504133,77.6623134
12.8503349,77.6626514
12.907045,77.6287929
12.8892046,77.6399019
12.9091872,77.6276624
12.9147708,77.5996975
12.8884033,77.6569322
12.8507784,77.6605384
12.8542699,77.6625546
12.8542721,77.6625726
12.8542184,77.662404
12.8542315,77.6624209
12.8556649,77.664015
12.9178655,77.6684489
12.8957891,77.6509744
12.9240872,77.6517619
12.9206594,77.6653305
12.8988625,77.6512484
12.8988734,77.6512385
12.9001099,77.65031
12.9002106,77.650318
12.8946798,77.6528281
12.9057458,77.6512
12.9037543,77.6505701
12.903719,77.6503833
12.9037196,77.6503913
12.9037236,77.6504
12.9037307,77.6504101
12.8707881,77.6550235
12.86994,77.6533741
12.8507631,77.6602526
12.8507639,77.6602246
12.8503205,77.6626569
12.8503087,77.6626704
12.971918,77.6070349
12.8507145,77.6609972
12.8507145,77.6610265
12.8505228,77.6622085
12.8505289,77.6621771
12.8506146,77.6616311
12.8506105,77.6616583
12.9315485,77.622494
12.9315427,77.6224914
12.931549,77.6224876
12.9807816,77.6159023
13.0040887,77.6191969
13.0682161,77.6010021
13.0567581,77.598173
13.064958,77.6026809
13.066439,77.5999524
13.0584342,77.5961186
13.0618394,77.599658
13.0657273,77.6008231
13.0591092,77.5980394
13.057621,77.5972691
13.0589566,77.5988936
13.0578501,77.598617
13.0582605,77.5968241
13.0592419,77.5962032
13.059613,77.5997064
13.0580864,77.5976571
13.05907,77.5983802
13.0684916,77.6003704
13.0627102,77.6001964
13.0658382,77.5997291
13.0559446,77.5977905
13.0577437,77.5963653
13.0655647,77.6017272
13.0673366,77.6000668
13.0687063,77.6015122
13.0605926,77.5996022
13.057236,77.5983904
13.0602991,77.5976047
13.0695972,77.601648
13.0571522,77.5967048
13.0592638,77.5994852
13.0605159,77.5964929
13.0644393,77.603271
13.0591551,77.5973917
13.0649132,77.6019572
13.0637643,77.6007817
13.0679701,77.5996882
13.0675439,77.6000131
13.0679705,77.6015054
12.9917069,77.6146229
12.9916789,77.6145177
12.9916499,77.6147138
12.9779148,77.6457032
12.9779208,77.6457078
12.8884729,77.6730027
12.8885593,77.6729241
12.8477718,77.6756664
12.8909545,77.6678048
12.8911126,77.667615
13.0044432,77.6230483
13.0044323,77.6229955
13.1996291,77.707363
13.004584,77.6227782
13.0045275,77.6228726
12.9816453,77.6228859
12.974728,77.6200106
12.9730796,77.6201068
12.9788111,77.5943325
12.9733365,77.6151086
12.975522,77.5940226
12.9762054,77.5946109
12.9315296,77.6224875
12.9121413,77.6446517
12.9121099,77.6446531
12.9121073,77.6446249
12.91214,77.6446222
12.912169,77.6381216
12.9121561,77.6381194
12.9121905,77.6381503
12.9768543,77.5964902
12.9831793,77.595861
12.9769209,77.5957438
12.9768283,77.5984799
12.9768254,77.5984517
12.9652796,77.6176011
12.9205936,77.5969063
12.9209738,77.5803946
12.975038,77.6078703
12.9286357,77.5816785
12.9205965,77.5969263
12.923469,77.5803262
12.9206108,77.5969131
12.9282645,77.5812282
12.9459844,77.6600217
12.9306053,77.6248432
12.8729524,77.644955
12.8719757,77.6451092
12.9306056,77.6248441
12.8719404,77.6451083
12.8723665,77.6450642
12.8738577,77.6439685
12.8737876,77.6427659
12.8743801,77.6405729
12.8746883,77.6401489
12.8743823,77.6405144
12.8736194,77.6449037
12.871147,77.6452638
12.871228,77.6453041
12.8711414,77.6452518
12.8716088,77.6451901
12.871599,77.6451894
12.873547,77.6450573
12.8742605,77.6414842
12.8740253,77.6422408
12.8738133,77.6427323
12.8737639,77.6430064
12.8750591,77.6397981
12.8763659,77.6396134
12.8758315,77.6395658
12.876212,77.6394407
12.8912469,77.6412973
12.9750252,77.5928133
12.9750379,77.5928187
12.973016,77.599764
12.9653069,77.6179592
12.9294123,77.6149639
12.9755738,77.6025371
12.9755713,77.6025279
12.9839198,77.5877255
12.9904648,77.5885049
12.9816494,77.5865378
12.9839336,77.5876995
12.9783057,77.6366879
12.9943669,77.6156979
12.9943839,77.615723
12.9828817,77.6374807
12.9544288,77.5784739
12.9448277,77.5274838
12.9943206,77.6179184
13.0172903,77.631327
13.0172911,77.631318
13.0173005,77.6313311
12.9775968,77.5941589
12.9736203,77.5974161
12.9736257,77.597404
13.0040939,77.618479
13.1996417,77.7106552
13.1996444,77.7105809
13.1995986,77.7116264
13.1996008,77.7116346
13.1995751,77.7104948
12.9748142,77.6208216
12.9783355,77.6408067
12.9386316,77.6327083
12.9386002,77.632515
12.9385959,77.6325149
12.9385908,77.6325149
13.0019525,77.6234808
12.9540923,77.5851646
12.9482221,77.5768973
13.0023422,77.6228734
12.9909582,77.619613
12.9527709,77.577078
12.9358673,77.615283
12.9359107,77.6152531
12.9358989,77.6152665
12.9359033,77.6152813
12.9358779,77.6152991
12.924294,77.628903
12.8462558,77.6717952
12.8462356,77.6717605
12.8461953,77.6717042
12.8461711,77.6716686
12.8472178,77.673993
12.8471686,77.6740163
12.8471218,77.67404
12.8472839,77.6742367
12.8472655,77.6742445
12.8473164,77.6743145
12.8465231,77.6713764
12.8465221,77.6713553
12.9432951,77.5265565
12.9761967,77.6030897
12.9757491,77.6060235
12.9757282,77.606275
12.975791,77.6061934
12.9743184,77.6077027
12.9754102,77.6072036
12.9744932,77.6111814
12.9754148,77.6071946
12.9624559,77.6188902
12.9755109,77.6059797
12.9758585,77.6055514
12.975852,77.6055714
12.9728836,77.6175162
13.1995498,77.7068651
13.1993715,77.7067368
13.1981558,77.6741783
13.2003067,77.707644
13.1987691,77.7056729
13.1995203,77.7077191
13.0427204,77.5901974
13.1986725,77.6802297
13.1981119,77.6741731
13.1935982,77.6498585
13.1566167,77.6227185
13.0357502,77.6182291
13.0427539,77.5906356
13.1935936,77.6498511
13.1936043,77.6498391
12.9665815,77.6356497
12.9782677,77.6367035
12.9716287,77.6358654
12.9820014,77.6243295
12.9957562,77.6166553
12.9816292,77.6315081
13.0023318,77.6164446
12.9875487,77.6227879
13.1939407,77.6496544
13.0459861,77.5914788
12.9754986,77.6040482
12.9747214,77.6059745
12.9753524,77.6039515
12.9751307,77.6047706
12.9758515,77.6015956
12.9747765,77.6053673
12.9752921,77.605183
12.9298498,77.6330163
12.9371643,77.6269287
12.9344375,77.6295422
12.9344519,77.629518
12.9344367,77.6295386
12.9344331,77.6295435
12.9385842,77.6325145
12.952388,77.6201378
12.936675,77.5799895
12.9747087,77.6199889
12.975549,77.620283
12.9683276,77.6061166
12.9792488,77.607104
12.9836645,77.611034
12.9929627,77.6123343
12.9756837,77.6025571
12.9906482,77.6139174
12.9815112,77.6102651
12.9766618,77.6017362
12.9792856,77.6070522
12.9708437,77.6047464
12.9815141,77.6102697
13.0006431,77.6160795
12.9735296,77.6048876
12.986718,77.6479024
13.0013694,77.6300264
13.0018241,77.6326354
13.0013632,77.6299982
12.9820994,77.6249921
12.9857681,77.6450257
13.0021801,77.6239718
12.9820971,77.6249756
13.0036965,77.6631518
13.003107,77.6214466
13.0031001,77.6214678
12.976382,77.6147704
13.0228009,77.6371827
13.0149143,77.6281812
12.9665588,77.6139022
13.0147522,77.6285553
13.0100197,77.5906939
13.0056805,77.593133
13.0149157,77.6326772
13.0149145,77.6326793
